Company Name,Symbol,Date Added,Long/Short,Price Added,Last Trade,Date Closed,Price Closed,Change
Evoqua Water Technologies,AQUA,2022-01-03,Long,$46.93,$39.02,2023-01-03,$39.02,-16.85%
"Manhattan Associates, Inc.",MANH,2016-01-04,Long,$64.39,$53.42,2016-12-30,$53.42,-17.04%
Corteva,CTVA,2023-01-03,Long,$58.90,$48.48,2024-01-02,$48.48,-17.69%
PayPal Holdings,PYPL,2023-01-03,Long,$74.71,$61.28,2024-01-02,$61.28,-17.98%
Restoration Hardware Holdings Inc.,RH,2015-01-02,Long,$95.77,$77.74,2015-12-31,$77.74,-18.83%
IAA,IAA,2021-01-04,Long,$63.83,$50.29,2022-01-03,$50.29,-21.21%
Chevron Corporation,CVX,2015-01-02,Long,$112.68,$88.48,2015-12-31,$88.48,-21.48%
PROGRESSIVE WASTE,BIN,2015-01-02,Long,$29.72,$23.28,2015-12-31,$23.28,-21.67%
Ritchie Bros,RBA,2017-01-03,Long,$34.02,$25.82,2017-11-21,$25.82,-24.10%
Insulet,PODD,2023-01-03,Long,$286.58,$211.21,2024-01-02,$211.21,-26.30%
"Proofpoint, Inc.",PFPT,2018-07-02,Long,$116.04,$84.90,2018-12-31,$84.90,-26.84%
SQUARE INC,SQ,2017-11-21,Long,$49.17,$35.86,2018-01-02,$35.86,-27.07%
HP,HPQ,2022-01-03,Long,$37.86,$26.82,2023-01-03,$26.82,-29.16%
Invitation Home,INVH,2022-01-03,Long,$44.55,$29.27,2023-01-03,$29.27,-34.30%
Vocera Comm.,VCRA,2019-01-02,Long,$39.20,$23.97,2019-10-01,$23.97,-38.85%
Vista Outdoor,VSTO,2022-01-03,Long,$46.52,$24.59,2022-09-30,$24.59,-47.14%
SiteOne Landscape Supply,SITE,2022-01-03,Long,$236.14,$104.47,2022-09-30,$104.47,-55.76%
Under Armour,UAA,2017-01-03,Long,$29.73,$12.99,2017-11-21,$12.99,-56.31%



"Ffhlywpcoxwk$wsqtedobfpejlq]lvi$ugq"

"Ffhlywpcoxwk$wsqtedobfpejlq]lvi$ugq"
